Town,xname,yname
Northfield,-72.44597661789828,42.67580247567373
Norton,-71.18418007299573,41.96402864528244
Norwell,-70.81772706335663,42.16076800106952
Norwood,-71.19482873742137,42.186047877925645
Oak Bluffs,-70.57958112412206,41.43731697726095
Oakham,-72.04606035274378,42.350037234561576
Orange,-72.29306511413765,42.60659079512036
Orleans,-69.96932515365556,41.777182014013576
Otis,-73.0856442104036,42.20378471222338
Oxford,-71.8665349501466,42.12857544089155
Palmer,-72.31115544193986,42.18880588982559
Paxton,-71.93302526656277,42.3109400512483
Peabody,-70.97249084717434,42.533525595724285
Pelham,-72.41641205016978,42.38081641463674
Pembroke,-70.8014225662931,42.065503767951284
Pepperell,-71.6041883826975,42.67122024812671
Peru,-73.04000686383684,42.42932044575004
Petersham,-72.22104978606335,42.45973615236245
Phillipston,-72.13546777489087,42.552792251016506
Pittsfield,-73.26052026309361,42.45172048602261
Plainfield,-72.9241173486643,42.5179929148438
Plainville,-71.33639374297898,42.01410704518732
Plymouth,-70.63048949418167,41.88582514319475
Plympton,-70.80972989225452,41.963462775268304
Princeton,-71.88127620725045,42.45651067637879
Provincetown,-70.200618516678,42.067360814745946
Quincy,-71.02685309563755,42.24318005744782
Randolph,-71.05396219055417,42.17785364278147
Raynham,-71.04364775510025,41.93124543599891
Reading,-71.10557362816579,42.535059356031184
Rehoboth,-71.24558211450893,41.84396977434927
Revere,-71.00305007729361,42.417956702377914
Richmond,-73.35910982012683,42.38681408136325
Rochester,-70.83848481610735,41.76000111905779
Rockland,-70.9100256093066,42.12950486394586
Rockport,-70.61653858667096,42.655193474534144
Rowe,-72.91286637513575,42.69870288209991
Rowley,-70.89646097974926,42.72034530532745
Royalston,-72.18608961291402,42.680916182741264
Russell,-72.85682623129506,42.16228611942171
Rutland,-71.96725869164969,42.38483672478215
Salem,-70.89624803898042,42.52156563843417
Salisbury,-70.86287430466199,42.84880361652849
Sandisfield,-73.12288911808827,42.10842168211562
Sandwich,-70.48523043967961,41.71482832366941
Saugus,-71.01649246116882,42.46970870994335
Savoy,-73.01957963150056,42.596287576460774
Scituate,-70.75670620576616,42.19803937495682
Seekonk,-71.3174468982074,41.83782414834103
Sharon,-71.18301968382507,42.108561122324154
Sheffield,-73.35996526392728,42.102077984417626
Shelburne,-72.68340990608866,42.603467014961765
Sherborn,-71.37532182130582,42.23417747622481
Shirley,-71.64709114327546,42.572525438451486
Shrewsbury,-71.71543474296037,42.28421086572113
Shutesbury,-72.41929809059754,42.45663526126244
Somerset,-71.15198704096449,41.750911916703565
Somerville,-71.10178963737305,42.390600012187086
South Hadley,-72.57930833175469,42.25670617879144
Southampton,-72.73858085479073,42.23084464768645
Southborough,-71.52966080265409,42.30118371946832
Southbridge,-72.03376394121868,42.060445031280814
Southwick,-72.7785549025045,42.054418944700096
Spencer,-71.991896268647,42.247176711155966
Springfield,-72.53951473038208,42.1155149414176
Sterling,-71.77297388657075,42.44125830656569
Stockbridge,-73.3245024553186,42.30259563381796
Stoneham,-71.09716500720133,42.47409034963681
Stoughton,-71.10191427436355,42.11921470674289
Stow,-71.51148009928363,42.429839115086175
Sturbridge,-72.09040526198692,42.107623286635835
Sudbury,-71.42337619438207,42.38471301701641
Sunderland,-72.5546145674568,42.465122525239074
Sutton,-71.75028632183499,42.133727171013966
Swampscott,-70.90674120103202,42.47572282523973
Swansea,-71.21211096007836,41.760970930686064
Taunton,-71.09435829628545,41.90366307748356
Templeton,-72.0735798944598,42.56864796498901
Tewksbury,-71.22784299942688,42.612044862110935
Tisbury,-70.6185878355499,41.45299196126081
Tolland,-73.02141424700437,42.09177864665165
Topsfield,-70.94256935151188,42.63726963239089
Townsend,-71.7115818572595,42.66697256407679
Truro,-70.06530304592361,42.011044489021316
Tyngsborough,-71.42905115374705,42.66613146357271
Tyringham,-73.19759039828614,42.24735069752854
Upton,-71.6043296232102,42.17709724366551
Uxbridge,-71.63802342849996,42.05927622852868
Wakefield,-71.0655898513711,42.50350913022925
Wales,-72.23328402552666,42.06230725041563
Walpole,-71.25545931526695,42.14645559999463
Waltham,-71.24231396366092,42.388922597711534
Ware,-72.28433805576385,42.28066114204542
Wareham,-70.70006690970001,41.768110375540324
Warren,-72.20061995173982,42.200183890427155
Warwick,-72.34055277106947,42.677105600326705
Washington,-73.1551223876375,42.36568734051983
Watertown,-71.17743232995481,42.369968521388614
Wayland,-71.35937142020487,42.35855644708803
Webster,-71.8484840584235,42.05206877708141
Wellesley,-71.28544034357652,42.30430833188398
Wellfleet,-70.01293315482266,41.93332208524268
Wendell,-72.40496634757761,42.55355567791767
Wenham,-70.88264371230859,42.60079778291434
West Boylston,-71.78455481062653,42.36900392740271
West Bridgewater,-71.02668632269808,42.02139711004425
West Brookfield,-72.160043567838,42.254102143433755
West Newbury,-70.96909454225244,42.79391729993221
West Springfield,-72.65024071694505,42.125332683683865
West Stockbridge,-73.38822871039402,42.31026681673916
West Tisbury,-70.65455877994299,41.40014725061223
Westborough,-71.6140304760989,42.26815085336434
Westfield,-72.75610296764799,42.13820669089891
Westford,-71.44006623928114,42.58643574647233
Westhampton,-72.7784263657533,42.30995179475085
Westminster,-71.90265393788466,42.55124742362362
Weston,-71.30008172938878,42.358941021637975
Westport,-71.10658102266892,41.599804883984156
Westwood,-71.21062699398657,42.22025944493771
Weymouth,-70.94799998543417,42.193314776861016
Whately,-72.64441113987839,42.43833349129233
Whitman,-70.93992025787811,42.079996479889694
Wilbraham,-72.43083099905468,42.127000787371124
Williamsburg,-72.72953493878371,42.40243528196272
Williamstown,-73.22832791750923,42.68478983363426
Wilmington,-71.16540385966353,42.56092701929405
Winchendon,-72.04875278127518,42.66679080424948
Winchester,-71.14630724745899,42.45178898451389
Windsor,-73.0433871566366,42.51362699342253
Winthrop,-70.98538294715024,42.372309800091834
Woburn,-71.15426282219077,42.486885351247224
Worcester,-71.80793905675942,42.27055936331262
Worthington,-72.94243550900407,42.39537508639971
Wrentham,-71.3551383028439,42.051348382970474
Yarmouth,-70.22459529125604,41.67704432849898
Back Bay Downtown,-71.06675378860652,42.35726675961761
Charlestown,-71.06379714787901,42.3792131154454
Dorchester Codman,-71.06534992610972,42.289265035470976
Dorchester Uphams,-71.05383203812167,42.31553296646482
East Boston,-71.01512130147779,42.37256591514832
Fenway,-71.09860318806996,42.34379864136937
Hyde Park,-71.12616230478112,42.2543418280652
Jamaica Plain,-71.11158145735475,42.30909927924949
Mattapan,-71.092692427827,42.27617904021344
Roslindale,-71.12390553463706,42.28514922034742
Roxbury,-71.08844662665966,42.326489340382125
South Boston,-71.04386061791202,42.32841663830153
South End,-71.06800289259625,42.34052793898823
West Roxbury,-71.1596189986617,42.280185993162355
Allston Brighton,-71.14565725939667,42.35189335656885
