date,ed.cases,bos.cases
2021-12-16,251,734
2021-12-17,264,646
2021-12-18,270,337
2021-12-19,254,321
2021-12-20,244,1252
2021-12-21,323,1402
2021-12-22,328,1559
2021-12-23,333,1120
2021-12-24,348,390
2021-12-25,379,145
2021-12-26,354,723
2021-12-27,490,2524
2021-12-28,543,2903
2021-12-29,579,3094
2021-12-30,626,2386
2021-12-31,663,810
2022-01-01,629,483
2022-01-02,563,1275
2022-01-03,612,4327
2022-01-04,670,3997
2022-01-05,628,3615
2022-01-06,566,3324
2022-01-07,483,1258
2022-01-08,424,1280
2022-01-09,481,1139
2022-01-10,422,3378
2022-01-11,517,1839
2022-01-12,429,1972
2022-01-13,448,1760
2022-01-14,447,1611
2022-01-15,418,727
2022-01-16,314,685
2022-01-17,320,919
2022-01-18,404,1952
2022-01-19,433,1363
2022-01-20,369,1124
2022-01-21,361,947
2022-01-22,333,409
2022-01-23,279,326
2022-01-24,268,1004
2022-01-25,344,832
2022-01-26,318,849
2022-01-27,296,571
2022-01-28,264,504
2022-01-29,230,34
2022-01-30,127,214
2022-01-31,161,610
2022-02-01,251,593
2022-02-02,251,470
2022-02-03,244,382
2022-02-04,232,241
2022-02-05,213,136
2022-02-06,177,126
2022-02-07,190,385
2022-02-08,225,372
2022-02-09,203,321
2022-02-10,213,265
2022-02-11,198,211
2022-02-12,184,111
2022-02-13,160,63
2022-02-14,168,308
2022-02-15,205,286
2022-02-16,191,329
2022-02-17,204,273
2022-02-18,184,188
2022-02-19,188,75
2022-02-20,168,52
2022-02-21,166,178
2022-02-22,185,274
2022-02-23,183,161
2022-02-24,197,171
2022-02-25,175,76
2022-02-26,123,66
2022-02-27,146,46
2022-02-28,176,175
2022-03-01,199,NA
2022-03-02,168,NA
