date,Town,Count,Tests
2020-04-22,Middleton,89,NA
2020-04-22,Milford,114,NA
2020-04-22,Millbury,117,NA
2020-04-22,Millis,27,NA
2020-04-22,Millville,7,NA
2020-04-22,Milton,141,NA
2020-04-22,Monroe,0,NA
2020-04-22,Monson,14,NA
2020-04-22,Montague,14,NA
2020-04-22,Monterey,0,NA
2020-04-22,Montgomery,3,NA
2020-04-22,Mount Washington,0,NA
2020-04-22,Nahant,28,NA
2020-04-22,Nantucket,9,NA
2020-04-22,Natick,214,NA
2020-04-22,Needham,156,NA
2020-04-22,New Ashford,0,NA
2020-04-22,New Bedford,212,NA
2020-04-22,New Braintree,3,NA
2020-04-22,New Marlborough,3,NA
2020-04-22,New Salem,0,NA
2020-04-22,Newbury,3,NA
2020-04-22,Newburyport,38,NA
2020-04-22,Newton,455,NA
2020-04-22,Norfolk,14,NA
2020-04-22,North Adams,39,NA
2020-04-22,North Andover,121,NA
2020-04-22,North Attleborough,107,NA
2020-04-22,North Brookfield,5,NA
2020-04-22,North Reading,119,NA
2020-04-22,Northampton,119,NA
2020-04-22,Northborough,74,NA
2020-04-22,Northbridge,90,NA
2020-04-22,Northfield,3,NA
2020-04-22,Norton,66,NA
2020-04-22,Norwell,52,NA
2020-04-22,Norwood,316,NA
2020-04-22,Oak Bluffs,3,NA
2020-04-22,Oakham,3,NA
2020-04-22,Orange,25,NA
2020-04-22,Orleans,11,NA
2020-04-22,Otis,3,NA
2020-04-22,Oxford,23,NA
2020-04-22,Palmer,14,NA
2020-04-22,Paxton,9,NA
2020-04-22,Peabody,380,NA
2020-04-22,Pelham,3,NA
2020-04-22,Pembroke,44,NA
2020-04-22,Pepperell,21,NA
2020-04-22,Peru,3,NA
2020-04-22,Petersham,3,NA
2020-04-22,Phillipston,7,NA
2020-04-22,Pittsfield,120,NA
2020-04-22,Plainfield,0,NA
2020-04-22,Plainville,32,NA
2020-04-22,Plymouth,152,NA
2020-04-22,Plympton,3,NA
2020-04-22,Princeton,3,NA
2020-04-22,Provincetown,18,NA
2020-04-22,Quincy,551,NA
2020-04-22,Randolph,481,NA
2020-04-22,Raynham,110,NA
2020-04-22,Reading,118,NA
2020-04-22,Rehoboth,27,NA
2020-04-22,Revere,759,NA
2020-04-22,Richmond,5,NA
2020-04-22,Rochester,8,NA
2020-04-22,Rockland,133,NA
2020-04-22,Rockport,24,NA
2020-04-22,Rowe,0,NA
2020-04-22,Rowley,16,NA
2020-04-22,Royalston,3,NA
2020-04-22,Russell,9,NA
2020-04-22,Rutland,22,NA
2020-04-22,Salem,277,NA
2020-04-22,Salisbury,19,NA
2020-04-22,Sandisfield,3,NA
2020-04-22,Sandwich,57,NA
2020-04-22,Saugus,194,NA
2020-04-22,Savoy,3,NA
2020-04-22,Scituate,54,NA
2020-04-22,Seekonk,34,NA
2020-04-22,Sharon,69,NA
2020-04-22,Sheffield,11,NA
2020-04-22,Shelburne,5,NA
2020-04-22,Sherborn,5,NA
2020-04-22,Shirley,25,NA
2020-04-22,Shrewsbury,147,NA
2020-04-22,Shutesbury,3,NA
2020-04-22,Somerset,38,NA
2020-04-22,Somerville,415,NA
2020-04-22,South Hadley,46,NA
2020-04-22,Southampton,24,NA
2020-04-22,Southborough,21,NA
2020-04-22,Southbridge,42,NA
2020-04-22,Southwick,25,NA
2020-04-22,Spencer,11,NA
2020-04-22,Springfield,835,NA
2020-04-22,Sterling,16,NA
2020-04-22,Stockbridge,6,NA
2020-04-22,Stoneham,180,NA
2020-04-22,Stoughton,305,NA
2020-04-22,Stow,9,NA
2020-04-22,Sturbridge,21,NA
2020-04-22,Sudbury,55,NA
2020-04-22,Sunderland,7,NA
2020-04-22,Sutton,20,NA
