long,lat,order,hole,piece,group,id,Town
-71.0683755,42.34694924,7673,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06835758,42.34690491,7674,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06836191,42.3468905,7675,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06834697,42.3467038,7676,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06833204,42.3465171,7677,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06848381,42.34645991,7678,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06900216,42.34597381,7679,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06904525,42.34590763,7680,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06918708,42.34567067,7681,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06927775,42.34544515,7682,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.0693086,42.34536841,7683,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06940002,42.34533864,7684,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06949145,42.34530887,7685,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06955449,42.34525754,7686,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06981956,42.34525135,7687,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06999956,42.34505135,7688,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07004956,42.34500135,7689,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07017956,42.34487135,7690,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07029956,42.34476135,7691,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07035956,42.34469135,7692,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07044956,42.34462135,7693,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07061956,42.34452135,7694,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07110956,42.34424135,7695,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07154956,42.34400135,7696,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07180956,42.34386135,7697,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07200155,42.34412194,7698,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07266956,42.34392135,7699,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07393956,42.34355135,7700,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07408956,42.34351135,7701,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07497956,42.34329135,7702,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07541956,42.34316135,7703,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
